"id","name","name_bn","created_by","created_at","updated_by","updated_at"
1,Dhaka,ঢাকা,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
2,Mymensingh,ময়মনসিংহ,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
3,Sylhet,সিলেট,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
4,Chittagong,চট্টগ্রাম,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
5,Barisal,বরিশাল,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
6,Khulna,খুলনা,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
7,Rajshahi,রাজশাহী,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
8,Rangpur,রংপুর,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
9,Unknown,অজানা,1,2026-01-01 10:42:54.631,1,2026-01-01 10:42:54.631
